name,fps,frame time
YOLOv8s,29.44722710789128,34.01924262197061
YOLOv8 + DWC,29.51158341374773,33.95311353792271
YOLOv8 + ECA,29.44695601514433,34.019280025615025
YOLOv8 + Swin,29.42887378843016,34.0442783006316
YOLOv8 + Biformer,29.41263324363722,34.06756966036364
YOLOv8 + Swin & DWC,29.47803312278504,33.97579254927459
YOLOv8 + Swin & Ghost,29.362100078899065,34.1398790656236
