Interval,FPS, Frame Time
1,26.779843148036395,37.341518188590435
2,29.984311206490098,33.35077444712321
3,29.979676196266063,33.35593064626058
4,29.97719996795231,33.3586859703064
5,29.979055493756924,33.35662126541138
6,29.98327663484584,33.351925214131676
Average,29.447227107891276,34.01924262197061
