Interval,FPS, Frame Time
1,26.98278733592129,37.06066343519423
2,29.98031121081586,33.35522413253784
3,29.976897877526447,33.35902214050293
4,29.969127747950417,33.36767117182414
5,29.986882940737875,33.34791421890259
6,29.972191623758352,33.36426019668579
Average,29.47803312278504,33.97579254927459
