Interval,FPS, Frame Time
1,26.785559580963977,37.333548958621805
2,29.977798453489285,33.358019987742104
3,29.96338716612694,33.37406396865845
4,29.99970674801429,33.333659172058105
5,29.976757903885023,33.35917790730794
6,29.978526238386486,33.35721015930176
Average,29.446956015144334,34.019280025615025
