Interval,FPS, Frame Time
1,26.275724593925126,38.05794190091325
2,29.97386516992737,33.36239735285441
3,29.984066846802676,33.35104624430338
4,29.97274136020696,33.36364825566609
5,29.98377104829935,33.35137526194254
6,29.982431454232916,33.35286537806193
Average,29.362100078899065,34.139879065623596
