Interval,FPS, Frame Time
1,26.67645213690003,37.48624423023467
2,30.182211488056545,33.132098368461556
3,29.976457964769374,33.35951169331868
4,30.070302530724284,33.25540203588746
5,29.994102445534033,33.33988746007283
6,30.16997391650208,33.14553743956105
Average,29.511583413747726,33.95311353792271
